"Time_Iter","Outer_Iter","Inner_Iter",     "rms[P]"     ,     "rms[U]"     ,     "rms[V]"     ,     "rms[T]"     
          0,           0,         178,       -14.7610016,      -15.10284712,       -14.8623072,      -12.96511766
          0,           0,         179,      -14.79146447,      -15.13837836,      -14.90883184,      -12.99558638
          0,           0,         180,      -14.82191144,      -15.17370932,      -14.95552733,      -13.02603294
          0,           0,         181,      -14.85218271,      -15.20900742,      -15.00229557,      -13.05630816
          0,           0,         182,      -14.88248501,      -15.24377919,      -15.04894275,      -13.08660361
          0,           0,         183,      -14.91263246,      -15.27858413,       -15.0955919,      -13.11675417
          0,           0,         184,      -14.94269326,      -15.31279471,      -15.14215433,      -13.14681513
          0,           0,         185,      -14.97276317,      -15.34650813,      -15.18863866,      -13.17688608
          0,           0,         186,      -15.00264694,      -15.38004762,      -15.23480651,      -13.20676149
          0,           0,         187,      -15.03260012,      -15.41300451,      -15.28119812,      -13.23672067
          0,           0,         188,      -15.06246697,      -15.44608234,      -15.32762942,      -13.26658694
          0,           0,         189,      -15.09227883,      -15.47900242,      -15.37425454,      -13.29639427
          0,           0,         190,      -15.12215071,      -15.51173296,      -15.42077174,      -13.32626436
          0,           0,         191,      -15.15185973,       -15.5444512,      -15.46726078,      -13.35598836
          0,           0,         192,       -15.1816258,      -15.57654753,       -15.5137771,       -13.3857381
          0,           0,         193,      -15.21132757,      -15.60870893,      -15.56013791,      -13.41545765
          0,           0,         194,      -15.24093018,      -15.64050145,      -15.60632103,      -13.44505286
          0,           0,         195,      -15.27062938,      -15.67183561,      -15.65243769,      -13.47474148
          0,           0,         196,      -15.30019418,      -15.70347791,      -15.69840857,      -13.50431237
          0,           0,         197,       -15.3297999,      -15.73461429,      -15.74453447,      -13.53392857
          0,           0,         198,      -15.35939724,      -15.76594024,         -15.79042,      -13.56350124
          0,           0,         199,      -15.38889755,      -15.79703831,      -15.83601875,        -13.593019
          0,           0,         200,      -15.41850182,      -15.82787403,      -15.88193191,      -13.62262593
          0,           0,         201,      -15.44796913,      -15.85895021,      -15.92748083,      -13.65208458
          0,           0,         202,      -15.47747777,      -15.88946465,      -15.97321186,      -13.68159837
          0,           0,         203,      -15.50700451,      -15.92009005,      -16.01860068,      -13.71113292
          0,           0,         204,      -15.53643956,      -15.95063048,      -16.06383979,      -13.74055637
          0,           0,         205,      -15.56597623,      -15.98089605,      -16.10959592,      -13.77010828
          0,           0,         206,      -15.59541474,      -16.01146993,      -16.15463598,      -13.79952091
          0,           0,         207,      -15.62485113,      -16.04165914,      -16.19930827,      -13.82896902
          0,           0,         208,      -15.65434837,      -16.07171575,      -16.24418071,      -13.85849282
          0,           0,         209,      -15.68371723,      -16.10211529,      -16.28836476,      -13.88781584
          0,           0,         210,      -15.71321698,      -16.13202024,      -16.33281985,      -13.91731876
          0,           0,         211,       -15.7426128,      -16.16212036,      -16.37645241,      -13.94671799
          0,           0,         212,       -15.7720318,      -16.19197357,      -16.42028395,      -13.97615531
          0,           0,         213,      -15.80153498,      -16.22192091,      -16.46471962,      -14.00567158
          0,           0,         214,      -15.83089056,      -16.25201923,      -16.50798482,      -14.03501778
          0,           0,         215,       -15.8603909,      -16.28162372,      -16.55124009,      -14.06449873
          0,           0,         216,      -15.88980004,      -16.31169606,      -16.59431466,      -14.09390659
          0,           0,         217,      -15.91916856,      -16.34139051,      -16.63697537,       -14.1233183
          0,           0,         218,      -15.94863239,        -16.371009,       -16.6794691,      -14.15277404
          0,           0,         219,      -15.97797851,      -16.40103214,       -16.7208777,      -14.18210514
          0,           0,         220,      -16.00741877,      -16.43027986,      -16.76294362,      -14.21143625
